prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,groups
"1557341000033115","211911000001100","Zinnat 250mg tablets (GlaxoSmithKline UK Ltd)","Zinnat 250mg tablets","Tablet","Oral","Cefuroxime axetil","250.000mg","5010201","abx"
"1558241000033114","228011000001102","Zinnat 125mg tablets (GlaxoSmithKline UK Ltd)","Zinnat 125mg tablets","Tablet","Oral","Cefuroxime axetil","125.000mg","5010201","abx"
"1572541000033110","","Augmentin 1 G Tablets","","","","","","","abx"
"1572841000033112","324258005","Azithromycin 500mg tablets","Azithromycin 500mg tablets","Tablet","Oral","Azithromycin","500.000mg","","abx"
"1579541000033118","","Bricanyl Turbohaler Breath-Actuated Dry Powder Inhaler 500 micrograms/dose","","","","","","","saba"
"1579841000033116","","Budesonide Breath-Actuated Dry Powder Inhaler 100 micrograms/dose","","","","","","","ics"
"1579941000033112","","Budesonide Breath-Actuated Dry Powder Inhaler 200 micrograms/dose","","","","","","","ics"
"1580041000033111","","Budesonide Breath-Actuated Dry Powder Inhaler 400 micrograms/dose","","","","","","","ics"
"1581441000033111","","Cephalexin Tablets 1 gram","","","","","","","abx"
"1582841000033117","3492511000001109","Ciproxin 250mg/5ml oral suspension (Bayer Plc)","Ciproxin 250mg/5ml oral suspension","Oral suspension","Oral","Ciprofloxacin","50.000mg/1.000ml","5011200","abx"
"1582941000033113","324602005","Ciprofloxacin 250mg/5ml oral suspension","Ciprofloxacin 250mg/5ml oral suspension","Oral suspension","Oral","Ciprofloxacin","50.000mg/1.000ml","5011200","abx"
"158441000033117","3248011000001106","Bricanyl 250micrograms/dose inhaler (AstraZeneca UK Ltd)","Bricanyl 250micrograms/dose inhaler","Pressurised inhalation","Inhalation","Terbutaline sulfate","250.000microgram/1.000dose","","saba"
"1594141000033117","392259005","Co-amoxiclav 875mg/125mg tablets","Co-amoxiclav 875mg/125mg tablets","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","875.000mg + 125.000mg","","abx"
"160241000033110","","Bricanyl Refill canister 250 micrograms/puff","","","","","","","saba"
"1603241000033119","324070004","Doxycycline 50mg capsules","Doxycycline 50mg capsules","Capsule","Oral","Doxycycline hyclate","50.000mg","5010300","abx"
"160941000033118","3248711000001108","Bricanyl 250micrograms/dose spacer inhaler (AstraZeneca UK Ltd)","Bricanyl 250micrograms/dose spacer inhaler","Pressurised inhalation","Inhalation","Terbutaline sulfate","250.000microgram/1.000dose","","saba"
"1626141000033110","36038911000001106","Levofloxacin 500mg/100ml solution for infusion vials","Levofloxacin 500mg/100ml solution for infusion vials","Solution for infusion","Intravenous","Levofloxacin hemihydrate","5.000mg/1.000ml","5011200","abx"
"1626241000033115","324633007","Levofloxacin 250mg tablets","Levofloxacin 250mg tablets","Tablet","Oral","Levofloxacin hemihydrate","250.000mg","5011200","abx"
"1626341000033113","324634001","Levofloxacin 500mg tablets","Levofloxacin 500mg tablets","Tablet","Oral","Levofloxacin hemihydrate","500.000mg","5011200","abx"
"163641000033116","3218311000001103","Bricanyl 500micrograms/dose Turbohaler (AstraZeneca UK Ltd)","Bricanyl 500micrograms/dose Turbohaler","Inhalation powder","Inhalation","Terbutaline sulfate","500.000microgram/1.000dose","3010101","saba"
"163741000033113","35912511000001101","Budesonide 200micrograms/dose inhaler","Budesonide 200micrograms/dose inhaler","Pressurised inhalation","Inhalation","Budesonide","200.000microgram/1.000dose","","ics"
"163841000033115","35912811000001103","Budesonide 50micrograms/dose inhaler","Budesonide 50micrograms/dose inhaler","Pressurised inhalation","Inhalation","Budesonide","50.000microgram/1.000dose","","ics"
"1670741000033111","","Pulmicort Turbohaler Breath-Actuated Dry Powder Inhaler 100 micrograms/dose","","","","","","","ics"
"1670841000033118","","Pulmicort Turbohaler Breath-Actuated Dry Powder Inhaler 200 micrograms/dose","","","","","","","ics"
"1670941000033114","","Pulmicort Turbohaler Breath-Actuated Dry Powder Inhaler 400 micrograms/dose","","","","","","","ics"
"1671041000033116","3176811000001102","Qvar 50 inhaler (Teva UK Ltd)","Qvar 50 inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","50.000microgram/1.000dose","3020000","ics"
"1671141000033117","3175611000001106","Qvar 100 inhaler (Teva UK Ltd)","Qvar 100 inhaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","3020000","ics"
"1671241000033112","3177411000001102","Qvar 50 Autohaler (Teva UK Ltd)","Qvar 50 Autohaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","50.000microgram/1.000dose","3020000","ics"
"1671341000033119","3177711000001108","Qvar 100 Autohaler (Teva UK Ltd)","Qvar 100 Autohaler","Pressurised inhalation","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","3020000","ics"
"169341000033114","35912611000001102","Budesonide 3mg gastro-resistant modified-release capsules","Budesonide 3mg gastro-resistant modified-release capsules","Modified-release capsule","Oral","Budesonide","3.000mg","1050200","ics"
"1698641000033112","4602911000001104","Tavanic 500mg/100ml solution for infusion vials (Sanofi)","Tavanic 500mg/100ml solution for infusion vials","Solution for infusion","Intravenous","Levofloxacin hemihydrate","5.000mg/1.000ml","5011200","abx"
"1698741000033115","3077511000001109","Tavanic 250mg tablets (Sanofi)","Tavanic 250mg tablets","Tablet","Oral","Levofloxacin hemihydrate","250.000mg","5011200","abx"
"1698841000033113","3078311000001102","Tavanic 500mg tablets (Sanofi)","Tavanic 500mg tablets","Tablet","Oral","Levofloxacin hemihydrate","500.000mg","5011200","abx"
"1699041000033114","35916311000001106","Terbutaline 500micrograms/dose dry powder inhaler","Terbutaline 500micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Terbutaline sulfate","500.000microgram/1.000dose","3010101","saba"
"1705441000033110","222311000001102","Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","Ventolin 100micrograms/dose Evohaler","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"171241000033113","","Budesonide Refill canister 200 micrograms/dose","","","","","","","ics"
"171341000033115","","Budesonide Refill canister 50 micrograms/dose","","","","","","","ics"
"1713741000033116","794511000001102","Zithromax 500mg tablets (Pfizer Ltd)","Zithromax 500mg tablets","Tablet","Oral","Azithromycin","500.000mg","","abx"
"1714241000033112","3214311000001108","Airomir 100micrograms/dose Autohaler (Teva UK Ltd)","Airomir 100micrograms/dose Autohaler","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"171641000033111","","Budesonide Spacer inhaler 50 micrograms/dose","","","","","","","ics"
"171741000033119","","Budesonide Spacer inhaler 200 micrograms/dose","","","","","","","ics"
"174441000033112","","Budesonide Turbohaler 200 micrograms/dose","","","","","","","ics"
"174541000033113","","Budesonide Turbohaler 400 micrograms/dose","","","","","","","ics"
"174641000033114","","Budesonide Turbohaler 100 micrograms/dose","","","","","","","ics"
"1751341000033111","39112711000001103","Salbutamol 100micrograms/dose breath actuated inhaler CFC free","Salbutamol 100micrograms/dose breath actuated inhaler CFC free","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"1752141000033117","3186911000001100","Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd)","Seretide 100 Accuhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","100.000microgram/1.000dose + 50.000microgram/1.000dose","3020000","laba_ics"
"1752241000033112","3187211000001106","Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd)","Seretide 250 Accuhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 50.000microgram/1.000dose","3020000","laba_ics"
"1752341000033119","3188311000001102","Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd)","Seretide 500 Accuhaler","Inhalation powder","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","500.000microgram/1.000dose + 50.000microgram/1.000dose","3020000","laba_ics"
"1768141000033111","","Salbulin Cfc-free inhaler 100 micrograms/puff","","","","","","","saba"
"1830541000033112","37083211000001101","Clarithromycin 250mg/5ml oral suspension","Clarithromycin 250mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","50.000mg/1.000ml","5010500","abx"
"1830641000033113","211000001101","Klaricid Paediatric 250mg/5ml oral suspension (Mylan)","Klaricid Paediatric 250mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","50.000mg/1.000ml","5010500","abx"
"1846041000033116","332347007","Erythromycin 40mg/ml / Zinc acetate 12mg/ml lotion","Erythromycin 40mg/ml / Zinc acetate 12mg/ml lotion","Liquid","Cutaneous","Erythromycin/ Zinc acetate","40.000mg/1.000ml + 12.000mg/1.000ml","13060100","abx"
"1903141000033113","","Salbutamol Dry powder breath-actuated inhaler 95 micrograms/dose","","","","","","","saba"
"1905441000033116","","Salbutamol Insufflator type 4","","","","","","","saba"
"1905641000033119","320178003","Salbutamol 200microgram inhalation powder capsules","Salbutamol 200microgram inhalation powder capsules","Inhalation powder","Inhalation","Salbutamol sulfate","200.000microgram","","saba"
"1905741000033111","320179006","Salbutamol 400microgram inhalation powder capsules","Salbutamol 400microgram inhalation powder capsules","Inhalation powder","Inhalation","Salbutamol sulfate","400.000microgram","","saba"
"1907341000033117","","Salbutamol Dry powder disks + disk inhaler 200 micrograms","","","","","","","saba"
"1907441000033111","","Salbutamol Dry powder disks + disk inhaler 400 micrograms","","","","","","","saba"
"1907541000033112","39113311000001107","Salbutamol 200micrograms/dose dry powder inhaler","Salbutamol 200micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Salbutamol","200.000microgram/1.000dose","3010101","saba"
"1907641000033113","","Salbutamol Dry powder for inhalation 400 micrograms/dose","","","","","","","saba"
"1913441000033115","","Salbutamol Dry powder breath-actuated inhaler 200 micrograms","","","","","","","saba"
"1914141000033114","39113211000001104","Salmeterol 50micrograms/dose dry powder inhaler","Salmeterol 50micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Salmeterol xinafoate","50.000microgram/1.000dose","3010101","laba"
"1914241000033119","35937811000001108","Salmeterol 50microgram inhalation powder blisters with device","Salmeterol 50microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Salmeterol xinafoate","50.000microgram","","laba"
"1914341000033112","38897911000001106","Fluticasone propionate 50micrograms/dose dry powder inhaler","Fluticasone propionate 50micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate","50.000microgram/1.000dose","3020000","ics"
"1914441000033118","38897811000001101","Fluticasone propionate 100micrograms/dose dry powder inhaler","Fluticasone propionate 100micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate","100.000microgram/1.000dose","3020000","ics"
"1914541000033117","36565411000001101","Fluticasone propionate 250micrograms/dose dry powder inhaler","Fluticasone propionate 250micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate","250.000microgram/1.000dose","3020000","ics"
"1914641000033116","38897711000001109","Fluticasone propionate 500micrograms/dose dry powder inhaler","Fluticasone propionate 500micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Fluticasone propionate","500.000microgram/1.000dose","3020000","ics"
"1914741000033113","36059911000001104","Fluticasone propionate 50microgram inhalation powder blisters with device","Fluticasone propionate 50microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Fluticasone propionate","50.000microgram","","ics"
"1914841000033115","36059311000001100","Fluticasone propionate 100microgram inhalation powder blisters with device","Fluticasone propionate 100microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Fluticasone propionate","100.000microgram","","ics"
"1914941000033111","36059411000001107","Fluticasone propionate 250microgram inhalation powder blisters with device","Fluticasone propionate 250microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Fluticasone propionate","250.000microgram","","ics"
"1915041000033111","36059711000001101","Fluticasone propionate 500microgram inhalation powder blisters with device","Fluticasone propionate 500microgram inhalation powder blisters with device","Inhalation powder","Inhalation","Fluticasone propionate","500.000microgram","","ics"
"1924941000033118","324178009","Erythromycin 250mg gastro-resistant tablets","Erythromycin 250mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Erythromycin","250.000mg","5010500","abx"
"2067541000033118","398511000001105","Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","Flixotide 125micrograms/dose Evohaler","Pressurised inhalation","Inhalation","Fluticasone propionate","125.000microgram/1.000dose","3020000","ics"
"2067641000033117","2831211000001109","Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","Flixotide 250micrograms/dose Evohaler","Pressurised inhalation","Inhalation","Fluticasone propionate","250.000microgram/1.000dose","3020000","ics"
"2067741000033114","39111211000001103","Fluticasone 125micrograms/dose inhaler CFC free","Fluticasone 125micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Fluticasone propionate","125.000microgram/1.000dose","3020000","ics"
"2067841000033116","39111411000001104","Fluticasone 250micrograms/dose inhaler CFC free","Fluticasone 250micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Fluticasone propionate","250.000microgram/1.000dose","3020000","ics"
"2086541000033119","106511000001103","Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)","Salamol 100micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"2147241000033117","453611000001102","Seretide 50 Evohaler (GlaxoSmithKline UK Ltd)","Seretide 50 Evohaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","50.000microgram/1.000dose + 25.000microgram/1.000dose","3020000","laba_ics"
"2147341000033110","810211000001105","Seretide 125 Evohaler (GlaxoSmithKline UK Ltd)","Seretide 125 Evohaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","3020000","laba_ics"
"2147441000033116","539811000001106","Seretide 250 Evohaler (GlaxoSmithKline UK Ltd)","Seretide 250 Evohaler","Pressurised inhalation","Inhalation","Fluticasone propionate/ Salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","3020000","laba_ics"
"2148441000033115","39110911000001100","Fluticasone 50micrograms/dose inhaler CFC free","Fluticasone 50micrograms/dose inhaler CFC free","Pressurised inhalation","Inhalation","Fluticasone propionate","50.000microgram/1.000dose","3020000","ics"
"2148541000033119","726611000001102","Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","Flixotide 50micrograms/dose Evohaler","Pressurised inhalation","Inhalation","Fluticasone propionate","50.000microgram/1.000dose","3020000","ics"
"2174141000033117","35937211000001107","Salbutamol 95micrograms/dose dry powder inhaler","Salbutamol 95micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Salbutamol sulfate","95.000microgram/1.000dose","3010101","saba"
"219741000033111","323795002","Cefaclor 500mg capsules","Cefaclor 500mg capsules","Capsule","Oral","Cefaclor monohydrate","500.000mg","5010201","abx"
"220441000033115","323791006","Cefaclor 250mg capsules","Cefaclor 250mg capsules","Capsule","Oral","Cefaclor monohydrate","250.000mg","5010201","abx"
"220541000033119","323813001","Cefadroxil 500mg capsules","Cefadroxil 500mg capsules","Capsule","Oral","Cefadroxil monohydrate","500.000mg","5010201","abx"
"220741000033110","","Cephalexin Capsules 250 mg","","","","","","","abx"
"220841000033117","","Cephalexin Capsules 500 mg","","","","","","","abx"
"221241000033111","","Cephalexin Chewable tablets 125 mg","","","","","","","abx"
"221341000033118","","Cephalexin Chewable tablets 250 mg","","","","","","","abx"
"22741000033118","597011000001101","Airomir 100micrograms/dose inhaler (Teva UK Ltd)","Airomir 100micrograms/dose inhaler","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"227741000033114","36134211000001100","Cefaclor 375mg modified-release tablets","Cefaclor 375mg modified-release tablets","Modified-release tablet","Oral","Cefaclor monohydrate","375.000mg","5010201","abx"
"227841000033116","","Cefaclor M/R tablets 500 mg","","","","","","","abx"
"227941000033112","","Cephalexin Mixture 125 mg/5 ml","","","","","","","abx"
"228041000033110","","Cephalexin Mixture 250 mg/5 ml","","","","","","","abx"
"228141000033114","","Cephalexin Mixture 500mg/5 ml","","","","","","","abx"
"228541000033117","","Cephalexin Paediatric drops 125 mg/1.25 ml","","","","","","","abx"
"228941000033111","323874002","Cefuroxime 125mg granules sachets","Cefuroxime 125mg granules sachets","Granules","Oral","Cefuroxime axetil","125.000mg","","abx"
"230041000033114","36134411000001101","Cefixime 100mg/5ml oral suspension","Cefixime 100mg/5ml oral suspension","Oral suspension","Oral","Cefixime","20.000mg/1.000ml","5010201","abx"
"230141000033113","323872003","Cefuroxime 125mg/5ml oral suspension","Cefuroxime 125mg/5ml oral suspension","Oral suspension","Oral","Cefuroxime axetil","25.000mg/1.000ml","5010201","abx"
"230741000033112","36134011000001105","Cefaclor 125mg/5ml oral suspension sugar free","Cefaclor 125mg/5ml oral suspension sugar free","Oral suspension","Oral","Cefaclor monohydrate","25.000mg/1.000ml","5010201","abx"
"230841000033119","36134111000001106","Cefaclor 250mg/5ml oral suspension sugar free","Cefaclor 250mg/5ml oral suspension sugar free","Oral suspension","Oral","Cefaclor monohydrate","50.000mg/1.000ml","5010201","abx"
"230941000033110","323792004","Cefaclor 125mg/5ml oral suspension","Cefaclor 125mg/5ml oral suspension","Oral suspension","Oral","Cefaclor monohydrate","25.000mg/1.000ml","5010201","abx"
"231041000033117","323811004","Cefadroxil 125mg/5ml oral suspension","Cefadroxil 125mg/5ml oral suspension","Oral suspension","Oral","Cefadroxil monohydrate","25.000mg/1.000ml","","abx"
"231141000033118","","Cephalexin Suspension 125 mg/5 ml","","","","","","","abx"
"231241000033113","","Cephalexin Suspension 250 mg/5 ml","","","","","","","abx"
"231541000033110","323812006","Cefadroxil 250mg/5ml oral suspension","Cefadroxil 250mg/5ml oral suspension","Oral suspension","Oral","Cefadroxil monohydrate","50.000mg/1.000ml","","abx"
"231641000033111","323816009","Cefadroxil 500mg/5ml oral suspension","Cefadroxil 500mg/5ml oral suspension","Oral suspension","Oral","Cefadroxil monohydrate","100.000mg/1.000ml","","abx"
"231741000033119","323793009","Cefaclor 250mg/5ml oral suspension","Cefaclor 250mg/5ml oral suspension","Oral suspension","Oral","Cefaclor monohydrate","50.000mg/1.000ml","5010201","abx"
"232041000033110","","Cephalexin Syrup 125 mg/5 ml","","","","","","","abx"
"232141000033114","","Cephalexin Syrup 250 mg/5 ml","","","","","","","abx"
"232241000033119","","Cephalexin Syrup 500 mg/5 ml","","","","","","","abx"
"232641000033116","","Cephalexin Syrup 500mg/5 ml","","","","","","","abx"
"232741000033113","323973007","Cefixime 200mg tablets","Cefixime 200mg tablets","Tablet","Oral","Cefixime","200.000mg","5010201","abx"
"233041000033118","323869005","Cefuroxime 250mg tablets","Cefuroxime 250mg tablets","Tablet","Oral","Cefuroxime axetil","250.000mg","5010201","abx"
"234941000033119","","Cephalexin Tablets 250 mg","","","","","","","abx"
"235041000033119","","Cephalexin Tablets 500 mg","","","","","","","abx"
"235441000033111","323868002","Cefuroxime 125mg tablets","Cefuroxime 125mg tablets","Tablet","Oral","Cefuroxime axetil","125.000mg","5010201","abx"
"2494341000033110","","*Penicillin Tablets","","","","","","","abx"
"2494441000033116","","*Penicillin Granules","","","","","","","abx"
"2494541000033115","","*Penicillin Liquid","","","","","","","abx"
"2494641000033119","","*Penicillin Powder","","","","","","","abx"
"2494741000033111","","*Penicillin Pills (Sucrose)","","","","","","","abx"
"2509341000033118","","*Prednisolone Tablets","","","","","","","ocs"
"2509441000033112","","*Prednisolone Granules","","","","","","","ocs"
"2509541000033113","","*Prednisolone Liquid","","","","","","","ocs"
"2509641000033114","","*Prednisolone Powder","","","","","","","ocs"
"2509741000033117","","*Prednisolone Pills (Sucrose)","","","","","","","ocs"
"258741000033114","417611000001101","Ciproxin 500mg tablets (Bayer Plc)","Ciproxin 500mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","500.000mg","5011200","abx"
"2587541000033118","3294211000001101","Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)","Symbicort 100/6 Turbohaler","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","100.000microgram/1.000dose + 6.000microgram/1.000dose","3020000","laba_ics"
"2587641000033117","3294611000001104","Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)","Symbicort 200/6 Turbohaler","Inhalation powder","Inhalation","Budesonide/ Formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","3020000","laba_ics"
"2588241000033119","3215311000001107","Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)","Salamol 100micrograms/dose Easi-Breathe inhaler","Pressurised inhalation","Inhalation","Salbutamol sulfate","100.000microgram/1.000dose","3010101","saba"
"258841000033116","324606008","Ciprofloxacin 500mg tablets","Ciprofloxacin 500mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","500.000mg","5011200","abx"
"258941000033112","661311000001104","Ciproxin 750mg tablets (Bayer Plc)","Ciproxin 750mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","750.000mg","5011200","abx"
"259041000033115","324605007","Ciprofloxacin 750mg tablets","Ciprofloxacin 750mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","750.000mg","5011200","abx"
"259341000033118","324600002","Ciprofloxacin 100mg tablets","Ciprofloxacin 100mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","100.000mg","5011200","abx"
"259441000033112","162511000001103","Ciproxin 100mg tablets (Bayer Plc)","Ciproxin 100mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","100.000mg","5011200","abx"
"259641000033114","455911000001109","Ciproxin 250mg tablets (Bayer Plc)","Ciproxin 250mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","250.000mg","5011200","abx"
"260241000033112","324607004","Ciprofloxacin 250mg tablets","Ciprofloxacin 250mg tablets","Tablet","Oral","Ciprofloxacin hydrochloride","250.000mg","5011200","abx"
"2622741000033114","3384111000001103","Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)","Pulvinal Salbutamol 200micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Salbutamol","200.000microgram/1.000dose","3010101","saba"
"2623141000033115","3112911000001102","Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd)","Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Beclometasone dipropionate","100.000microgram/1.000dose","3020000","ics"
"2623241000033110","3113411000001101","Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd)","Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Beclometasone dipropionate","200.000microgram/1.000dose","3020000","ics"
"2623341000033117","3175111000001103","Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd)","Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler","Inhalation powder","Inhalation","Beclometasone dipropionate","400.000microgram/1.000dose","3020000","ics"
"2637041000033111","","Doxycycline Tablets 20 mg","","","","","","","abx"
"2725541000033116","3189711000001107","Beclometasone 100 Cyclocaps (Teva UK Ltd)","Beclometasone 100 Cyclocaps","Inhalation powder","Inhalation","Beclometasone dipropionate","100.000microgram","","ics"
"2725641000033115","3192611000001109","Beclometasone 200 Cyclocaps (Teva UK Ltd)","Beclometasone 200 Cyclocaps","Inhalation powder","Inhalation","Beclometasone dipropionate","200.000microgram","","ics"
"2725741000033112","3194511000001100","Beclometasone 400 Cyclocaps (Teva UK Ltd)","Beclometasone 400 Cyclocaps","Inhalation powder","Inhalation","Beclometasone dipropionate","400.000microgram","","ics"
"2725841000033119","3432911000001109","Budesonide 200microgram inhalation powder capsules","Budesonide 200microgram inhalation powder capsules","Inhalation powder","Inhalation","Budesonide","200.000microgram","","ics"
"2725941000033110","3433011000001101","Budesonide 400microgram inhalation powder capsules","Budesonide 400microgram inhalation powder capsules","Inhalation powder","Inhalation","Budesonide","400.000microgram","","ics"
"2726041000033117","3197211000001105","Budesonide 200 Cyclocaps (Teva UK Ltd)","Budesonide 200 Cyclocaps","Inhalation powder","Inhalation","Budesonide","200.000microgram","","ics"
"2726141000033118","3198411000001108","Budesonide 400 Cyclocaps (Teva UK Ltd)","Budesonide 400 Cyclocaps","Inhalation powder","Inhalation","Budesonide","400.000microgram","","ics"
"2726241000033113","3214611000001103","Salbutamol 200 Cyclocaps (Teva UK Ltd)","Salbutamol 200 Cyclocaps","Inhalation powder","Inhalation","Salbutamol sulfate","200.000microgram","","saba"
"2726341000033115","3217611000001109","Salbutamol 400 Cyclocaps (Teva UK Ltd)","Salbutamol 400 Cyclocaps","Inhalation powder","Inhalation","Salbutamol sulfate","400.000microgram","","saba"
"277841000033115","36142611000001107","Clarithromycin 500mg modified-release tablets","Clarithromycin 500mg modified-release tablets","Modified-release tablet","Oral","Clarithromycin","500.000mg","5010500","abx"
"278241000033118","35368711000001104","Clarithromycin 125mg/5ml oral suspension","Clarithromycin 125mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","25.000mg/1.000ml","5010500","abx"
"2793541000033114","9479011000001103","Tiotropium bromide 18microgram inhalation powder capsules with device","Tiotropium bromide 18microgram inhalation powder capsules with device","Inhalation powder","Inhalation","Tiotropium bromide","18.000microgram","3010200","lama"
"2793641000033110","9478911000001107","Tiotropium bromide 18microgram inhalation powder capsules","Tiotropium bromide 18microgram inhalation powder capsules","Inhalation powder","Inhalation","Tiotropium bromide","18.000microgram","3010200","lama"
"2793741000033118","3378211000001106","Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd)","Spiriva 18microgram inhalation powder capsules with HandiHaler","Inhalation powder","Inhalation","Tiotropium bromide","18.000microgram","3010200","lama"
"2793841000033111","3380011000001106","Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)","Spiriva 18microgram inhalation powder capsules","Inhalation powder","Inhalation","Tiotropium bromide","18.000microgram","3010200","lama"
"2798341000033112","4860811000001104","Pulmicort 200micrograms/dose inhaler with Nebuchamber (AstraZeneca UK Ltd)","Pulmicort 200micrograms/dose inhaler with Nebuchamber","Pressurised inhalation","Inhalation","Budesonide","200.000microgram/1.000dose","3020000","ics"
"2798441000033118","","Budesonide Inhaler with spacer device 200 micrograms/dose","","","","","","","ics"
"282141000033118","324248006","Clarithromycin 250mg granules sachets","Clarithromycin 250mg granules sachets","Granules","Oral","Clarithromycin","250.000mg","5010500","abx"
"2831741000033110","","Cefuroxime Tablets 500 mg","","","","","","","abx"
"2831841000033117","","Zinnat Tablets 500 mg","","","","","","","abx"
"285341000033110","324244008","Clarithromycin 500mg tablets","Clarithromycin 500mg tablets","Tablet","Oral","Clarithromycin","500.000mg","5010500","abx"
"2864041000033119","","Salbutamol Breath Actuated Pressurised Inhalation 100 micrograms/actuation","","","","","","","saba"
"2872641000033111","","Mometasone Furoate Dry Powder Inhaler 200 micrograms/dose, 30 doses","","","","","","","ics"
"2872741000033119","","Mometasone Furoate Dry Powder Inhaler 400 micrograms/dose, 60 doses","","","","","","","ics"
"2872841000033112","","Mometasone Furoate Dry Powder Inhaler 200 micrograms/dose, 60 doses","","","","","","","ics"
"2872941000033116","","Mometasone Furoate Dry Powder Inhaler 400 micrograms/dose, 30 doses","","","","","","","ics"
"2873041000033114","","Asmanex Twisthaler Dry Powder Inhaler 200 micrograms/dose, 30 doses","","","","","","","ics"
"2873141000033113","","Asmanex Twisthaler Dry Powder Inhaler 200 micrograms/dose, 60 doses","","","","","","","ics"
"2873241000033118","","Asmanex Twisthaler Dry Powder Inhaler 400 micrograms/dose, 30 doses","","","","","","","ics"
