prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,category_rx
"534441000033117","","Erythromycin Ethyl Succinate Granules 125 mg/sachet","","","","","","","Antibiotics"
"534541000033116","","Erythromycin Ethyl Succinate Granules 250 mg/sachet","","","","","","","Antibiotics"
"534641000033115","","Erythromycin Ethyl Succinate Granules 500 mg/sachet","","","","","","","Antibiotics"
"534741000033112","","Erythroped Granules forte 500 mg/sachet","","","","","","","Antibiotics"
"535741000033113","","Erythromycin Ethyl Succinate Mixture 125 mg/5 ml","","","","","","","Antibiotics"
"535841000033115","","Erythromycin Ethyl Succinate Mixture 250 mg/5 ml","","","","","","","Antibiotics"
"535941000033111","","Erythromycin Ethyl Succinate Mixture 500 mg/5 ml","","","","","","","Antibiotics"
"536041000033118","","Erythroped P.i. sachets 125 mg/sachet","","","","","","","Antibiotics"
"536141000033119","294211000001105","Erythroped PI SF 125mg/5ml oral suspension (Advanz Pharma)","Erythroped PI SF 125mg/5ml oral suspension","Oral suspension","Oral","Erythromycin ethyl succinate","25.000mg/1.000ml","5010500","Antibiotics"
"536241000033114","","Erythromycin Paediatric suspension 125 mg/5 ml","","","","","","","Antibiotics"
"536341000033116","","Erythroped P.i. suspension 125 mg/5 ml","","","","","","","Antibiotics"
"536441000033110","","Erythroped Sachets 250 mg/sachet","","","","","","","Antibiotics"
"536541000033111","","Erythroped A Sachets 1 gram/sachet","","","","","","","Antibiotics"
"536741000033115","","Erythromycin Tablets 250 mg","","","","","","","Antibiotics"
"536841000033113","","Erythromycin Stearate tablets 500 mg","","","","","","","Antibiotics"
"536941000033117","324180003","Erythromycin stearate 250mg tablets","Erythromycin stearate 250mg tablets","Tablet","Oral","Erythromycin stearate","250.000mg","5010500","Antibiotics"
"537041000033116","","Erythromycin Suspension 500 mg/5 ml","","","","","","","Antibiotics"
"537141000033117","","Erythroped Suspension 250 mg/5 ml","","","","","","","Antibiotics"
"537241000033112","178911000001100","Erythroped Forte SF 500mg/5ml oral suspension (Advanz Pharma)","Erythroped Forte SF 500mg/5ml oral suspension","Oral suspension","Oral","Erythromycin ethyl succinate","100.000mg/1.000ml","5010500","Antibiotics"
"537341000033119","108811000001104","Erythroped SF 250mg/5ml oral suspension (Advanz Pharma)","Erythroped SF 250mg/5ml oral suspension","Oral suspension","Oral","Erythromycin ethyl succinate","50.000mg/1.000ml","5010500","Antibiotics"
"537441000033113","36564711000001108","Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free","Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free","Oral suspension","Oral","Erythromycin ethyl succinate","25.000mg/1.000ml","5010500","Antibiotics"
"537541000033114","39107311000001103","Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free","Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free","Oral suspension","Oral","Erythromycin ethyl succinate","50.000mg/1.000ml","5010500","Antibiotics"
"537641000033110","324232005","Erythromycin ethyl succinate 125mg/5ml oral suspension","Erythromycin ethyl succinate 125mg/5ml oral suspension","Oral suspension","Oral","Erythromycin ethyl succinate","25.000mg/1.000ml","5010500","Antibiotics"
"537741000033118","324233000","Erythromycin ethyl succinate 250mg/5ml oral suspension","Erythromycin ethyl succinate 250mg/5ml oral suspension","Oral suspension","Oral","Erythromycin ethyl succinate","50.000mg/1.000ml","5010500","Antibiotics"
"537841000033111","324234006","Erythromycin ethyl succinate 500mg/5ml oral suspension","Erythromycin ethyl succinate 500mg/5ml oral suspension","Oral suspension","Oral","Erythromycin ethyl succinate","100.000mg/1.000ml","5010500","Antibiotics"
"537941000033115","39107211000001106","Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free","Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free","Oral suspension","Oral","Erythromycin ethyl succinate","100.000mg/1.000ml","5010500","Antibiotics"
"538241000033113","","Erythroped Sugar free granules 250 mg/sachet","","","","","","","Antibiotics"
"538341000033115","","Erythromycin Sugar free granules 250 mg/sachet","","","","","","","Antibiotics"
"538441000033114","","Erythromycin Suspension 250 mg/5 ml","","","","","","","Antibiotics"
"538541000033110","","Erythromycin Sugar free suspension 125mg/5ml","","","","","","","Antibiotics"
"538641000033111","","Erythromycin Sugar free suspension 250mg/5ml","","","","","","","Antibiotics"
"538841000033112","324179001","Erythromycin ethyl succinate 500mg tablets","Erythromycin ethyl succinate 500mg tablets","Tablet","Oral","Erythromycin ethyl succinate","500.000mg","5010500","Antibiotics"
"540041000033119","","Erythromycin Tablets 500 mg","","","","","","","Antibiotics"
"540141000033115","580811000001109","Erythroped A 500mg tablets (Advanz Pharma)","Erythroped A 500mg tablets","Tablet","Oral","Erythromycin ethyl succinate","500.000mg","13060200","Antibiotics"
"54041000033110","","Amoxil Sachets sf 750 mg","","","","","","","Antibiotics"
"55941000033112","234411000001104","Amoxil 125mg/5ml syrup sucrose free (GlaxoSmithKline UK Ltd)","Amoxil 125mg/5ml syrup sucrose free","Oral suspension","Oral","Amoxicillin trihydrate","25.000mg/1.000ml","","Antibiotics"
"56041000033119","689711000001103","Amoxil 250mg/5ml syrup sucrose free (GlaxoSmithKline UK Ltd)","Amoxil 250mg/5ml syrup sucrose free","Oral suspension","Oral","Amoxicillin trihydrate","50.000mg/1.000ml","","Antibiotics"
"56541000033112","","Ampicillin Syrup 125 mg/5 ml","","","","","","","Antibiotics"
"56641000033113","","Ampicillin Syrup forte 250 mg/5 ml","","","","","","","Antibiotics"
"5697041000033116","7322211000001104","Co-amoxiclav 125mg/31mg/5ml oral suspension","Co-amoxiclav 125mg/31mg/5ml oral suspension","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","25.000mg/1.000ml + 6.250mg/1.000ml","5010103","Antibiotics"
"5697141000033117","7322311000001107","Co-amoxiclav 250mg/62mg/5ml oral suspension","Co-amoxiclav 250mg/62mg/5ml oral suspension","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","50.000mg/1.000ml + 12.500mg/1.000ml","5010103","Antibiotics"
"5747941000033119","4865011000001104","Cefalexin 125mg/5ml oral suspension sugar free","Cefalexin 125mg/5ml oral suspension sugar free","Oral suspension","Oral","Cefalexin","25.000mg/1.000ml","5010200","Antibiotics"
"5990141000033115","17872811000001100","Prednisone 1mg modified-release tablets","Prednisone 1mg modified-release tablets","Modified-release tablet","Oral","Prednisone","1.000mg","6030200","Oral corticosteroids"
"5990241000033110","17873211000001107","Prednisone 2mg modified-release tablets","Prednisone 2mg modified-release tablets","Modified-release tablet","Oral","Prednisone","2.000mg","6030200","Oral corticosteroids"
"5990341000033117","17873811000001108","Prednisone 5mg modified-release tablets","Prednisone 5mg modified-release tablets","Modified-release tablet","Oral","Prednisone","5.000mg","6030200","Oral corticosteroids"
"7860041000033110","","Doxycycline Hyclate Oral suspension 50 mg/5 ml","","","","","","","Antibiotics"
"7871241000033116","8485311000001109","Doxycycline 50mg/5ml oral suspension","Doxycycline 50mg/5ml oral suspension","Oral suspension","Oral","Doxycycline hyclate","10.000mg/1.000ml","","Antibiotics"
"8029141000033118","","Zithromax SD Oral Suspension 2 gram/unit dose","","","","","","","Antibiotics"
"804941000033116","40811000001101","Klaricid XL 500mg tablets (Mylan)","Klaricid XL 500mg tablets","Modified-release tablet","Oral","Clarithromycin","500.000mg","5010500","Antibiotics"
"805141000033117","917411000001101","Klaricid Paediatric 125mg/5ml oral suspension (Mylan)","Klaricid Paediatric 125mg/5ml oral suspension","Oral suspension","Oral","Clarithromycin","25.000mg/1.000ml","5010500","Antibiotics"
"805341000033119","3253811000001107","Klaricid Adult 250mg granules sachets (Mylan)","Klaricid Adult 250mg granules sachets","Granules","Oral","Clarithromycin","250.000mg","5010500","Antibiotics"
"805441000033113","463111000001102","Klaricid 500 tablets (Abbott Laboratories Ltd)","Klaricid 500 tablets","Tablet","Oral","Clarithromycin","500.000mg","1030500","Antibiotics"
"805741000033118","220811000001105","Klaricid 250mg tablets (Abbott Laboratories Ltd)","Klaricid 250mg tablets","Tablet","Oral","Clarithromycin","250.000mg","5010500","Antibiotics"
"8494441000033110","32652311000001103","Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd)","Dilacort 2.5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","2.500mg","","Oral corticosteroids"
"8494541000033111","32652511000001109","Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd)","Dilacort 5mg gastro-resistant tablets","Gastro-resistant tablet","Oral","Prednisolone","5.000mg","","Oral corticosteroids"
"857741000033118","435911000001105","Magnapen 250mg/250mg capsules (Wockhardt UK Ltd)","Magnapen 250mg/250mg capsules","Capsule","Oral","Ampicillin trihydrate/ Flucloxacillin sodium","250.000mg + 250.000mg","5010103","Antibiotics"
"867741000033114","3098711000001105","Magnapen syrup (Wockhardt UK Ltd)","Magnapen syrup","Oral suspension","Oral","Ampicillin trihydrate/ Flucloxacillin magnesium","25.000mg/1.000ml + 25.000mg/1.000ml","","Antibiotics"
"9119141000033118","416533002","Prednisolone 15mg/5ml oral solution","Prednisolone 15mg/5ml oral solution","Oral solution","Oral","Prednisolone","3.000mg/1.000ml","","Oral corticosteroids"
"93141000033115","386811000001108","Augmentin 375mg dispersible tablets (GlaxoSmithKline UK Ltd)","Augmentin 375mg dispersible tablets","Dispersible tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","250.000mg + 125.000mg","","Antibiotics"
"93941000033118","","Augmentin Junior suspension","","","","","","","Antibiotics"
"94441000033113","","Augmentin Paediatric suspension","","","","","","","Antibiotics"
"94641000033110","932211000001108","Augmentin 125/31 SF oral suspension (GlaxoSmithKline UK Ltd)","Augmentin 125/31 SF oral suspension","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","25.000mg/1.000ml + 6.250mg/1.000ml","5010103","Antibiotics"
"94741000033118","866111000001100","Augmentin 250/62 SF oral suspension (GlaxoSmithKline UK Ltd)","Augmentin 250/62 SF oral suspension","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","50.000mg/1.000ml + 12.500mg/1.000ml","5010103","Antibiotics"
"94841000033111","169511000001107","Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd)","Augmentin-Duo 400/57 oral suspension","Oral suspension","Oral","Amoxicillin trihydrate/ Potassium clavulanate","80.000mg/1.000ml + 11.400mg/1.000ml","5010103","Antibiotics"
"94941000033115","94411000001100","Augmentin 375mg tablets (GlaxoSmithKline UK Ltd)","Augmentin 375mg tablets","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","250.000mg + 125.000mg","5010103","Antibiotics"
"95041000033115","292511000001103","Augmentin 625mg tablets (GlaxoSmithKline UK Ltd)","Augmentin 625mg tablets","Tablet","Oral","Amoxicillin trihydrate/ Potassium clavulanate","500.000mg + 125.000mg","5010103","Antibiotics"
"95141000033116","","Augmentin Tablets","","","","","","","Antibiotics"
"96941000033113","324252006","Azithromycin 250mg capsules","Azithromycin 250mg capsules","Capsule","Oral","Azithromycin dihydrate","250.000mg","5010500","Antibiotics"
"98441000033116","324253001","Azithromycin 200mg/5ml oral suspension","Azithromycin 200mg/5ml oral suspension","Oral suspension","Oral","Azithromycin","40.000mg/1.000ml","5010500","Antibiotics"
